retriever,qtype,source,n,recall_at_k,mrr,rouge_l_f1,bertscore_f1,abstention_rate,passage_overlap
bm25,susceptibility,all,2,1,1.0,0.34684624017957355,0.19264420121908188,0,0.9208630952380952
bm25,symptoms,all,60,0.8666666666666667,0.8,0.2968203443811079,0.07980015873132894,0.05,0.8791089712080733
bm25,treatment,all,45,0.8,0.6777777777777778,0.16962780446754797,0.02207644584381746,0.28888888888888886,0.7739280921639016
bm25,all,CancerGov,14,0.8571428571428571,0.8214285714285714,0.197346787922871,0.04411732126027346,0.07142857142857142,0.8819173429499648
bm25,all,GARD,115,0.8869565217391304,0.8130434782608695,0.36505221009715416,0.2233268355221852,0.05217391304347826,0.8948910977682221
bm25,all,GHR,89,0.9550561797752809,0.8333333333333334,0.2694235117147959,0.12262012776552458,0.1797752808988764,0.8070788697715314
bm25,all,MPlusHealthTopics,7,0.7142857142857143,0.5476190476190477,0.4372881560461654,0.38941605841474874,0,0.9412810051194843
bm25,all,NHLBI,17,0.7647058823529411,0.6764705882352942,0.20902147190940454,0.05780945510110434,0,0.8623915217353691
bm25,all,NIDDK,25,0.68,0.54,0.19237254312476923,0.0388458527578041,0.16,0.8144909981614579
bm25,all,NIHSeniorHealth,12,0.8333333333333334,0.7083333333333334,0.1483451179753718,-0.012330677670737108,0,0.8406553939944403
bm25,all,NINDS,21,0.47619047619047616,0.38095238095238093,0.2987380819584991,0.21608413472062066,0.2857142857142857,0.7991045977653639
entity,causes,all,16,0.9375,0.8645833333333334,0.43495718701295133,0.36447385093197227,0,0.9175888922816502
entity,considerations,all,8,1,0.8125,0.27614368242562143,0.12410760228522122,0,0.8333420653188058
entity,exams and tests,all,16,1,0.90625,0.2884550468574337,0.14511648402549326,0,0.8166275860494958
entity,frequency,all,16,0.875,0.7708333333333334,0.31254774991942186,0.277633968857117,0.125,0.7809475508112781
entity,genetic changes,all,18,0.8888888888888888,0.8333333333333334,0.27544234782257015,0.11474693276815945,0,0.8530072196848595
entity,information,all,78,0.8846153846153846,0.7606837606837606,0.46194442750662207,0.3912532628657153,0,0.9492291440619581
entity,inheritance,all,28,1,0.9583333333333334,0.2719675565719832,0.18063074070960283,0.03571428571428571,0.848450095616146
entity,outlook,all,5,0.6,0.5,0.12197500710351446,-0.014925399422645569,0,0.7791720404874768
entity,prevention,all,1,1,1.0,0.2625482625482625,-0.011648694053292274,1,0.7323943661971831
entity,research,all,5,0.8,0.7,0.18328204452859423,0.11197756119072437,0.2,0.7849069374997587
entity,stages,all,2,1,0.6666666666666666,0.35708673761425075,0.13358244858682156,0,0.9508692365835223
entity,susceptibility,all,2,1,1.0,0.15468585994901785,0.07431004149839282,0,0.8630769230769231
entity,symptoms,all,60,0.9833333333333333,0.9388888888888889,0.35285250580290367,0.11107969690153065,0,0.9167274029949362
entity,treatment,all,45,0.8,0.6814814814814815,0.20406761379233695,0.044806372275989916,0.1111111111111111,0.8378624547694842
entity,all,CancerGov,14,1,0.9047619047619048,0.3323822802219625,0.17814698043678487,0,0.8641657977025007
entity,all,GARD,115,0.9826086956521739,0.9304347826086956,0.42482692204797784,0.2882146503260035,0.008695652173913044,0.9163826515536333
